evidence_id,school,source_id,published_at,identity,firsthand,included,dimensions,summary,confidence,note_id,url
E01,人朝小学,X1,2026-05-10,具备具体家庭场景的比较评论者（疑似家长）,近一手,是,作业/考试/社团/家长负担,"有家庭作业，考试卷带回，社团和非主科丰富；项目任务需家庭参与",中高,6a0006c1000000000602302f,https://www.xiaohongshu.com/explore/6a0006c1000000000602302f?xsec_token=ABDNTBqHP6tlnlPV5AUWTesIq2km2qjSzs_ak7TlLyes8%3D&xsec_source=pc_search
E02,人朝小学,X1,2026-05-10,做过两校比较的家长,近一手,是,活动/儿童体验/英语,"认为活动更丰富、孩子体验更快乐；英语可能需课外补充",中,6a0006c1000000000602302f,https://www.xiaohongshu.com/explore/6a0006c1000000000602302f?xsec_token=ABDNTBqHP6tlnlPV5AUWTesIq2km2qjSzs_ak7TlLyes8%3D&xsec_source=pc_search
E03,人朝小学,X6,2024-12-03,2024级在读家长,一手,是,家校沟通/入学适应,"老师通过班级平台发照片，孩子适应良好",高,674ec6b00000000002028810,https://www.xiaohongshu.com/explore/674ec6b00000000002028810?xsec_token=ABwh08MOGBVuBQFVK30u2sqM6wSSt8CS5-WyY77puZvbs%3D&xsec_source=pc_feed
E04,人朝小学,X7,2024-12-03,2024级在读家长,一手,是,规模/班额/校区,"家长自行统计当届约20班，单班约36至40人以上",中,674ef39200000000060166dd,https://www.xiaohongshu.com/explore/674ef39200000000060166dd?xsec_token=ABwh08MOGBVuBQFVK30u2sqPMvI6snDhpu5HbttIakQtA%3D&xsec_source=pc_feed
E05,人朝小学,X8,2026-06-26,六年级下在读家庭,一手,是,考试/小升初/家长焦虑,"关注三次大考成绩及初中分班",高,6a3e2a51000000000f005038,https://www.xiaohongshu.com/explore/6a3e2a51000000000f005038?xsec_token=AB-L0MDQEFvzHPXKn-vnCAi6H8RmcnMHl9Z9ykCl6Si-o%3D&xsec_source=pc_search
E06,人朝小学,O2,2025-05-01,官方资料,官方,是,规模/校址,"一校六址，小学109个教学班，全校7636名学生",高,,https://www.bjchy.gov.cn/UserFiles/File/fa81ae9945c14b5da97d2a6b31a1a052.pdf
E07,朝外本部,X1,2026-05-10,具备具体家庭场景的比较评论者（疑似家长）,近一手,是,作业/考试/社团/家长负担,"家庭作业很少，多由学校内部完成；低年级社团较少",中高,6a0006c1000000000602302f,https://www.xiaohongshu.com/explore/6a0006c1000000000602302f?xsec_token=ABDNTBqHP6tlnlPV5AUWTesIq2km2qjSzs_ak7TlLyes8%3D&xsec_source=pc_search
E08,朝外本部,X1,2026-05-10,做过两校比较的家长,近一手,是,英语/管理/活动,"英语优势明显、管理严格，活动少于人朝",中,6a0006c1000000000602302f,https://www.xiaohongshu.com/explore/6a0006c1000000000602302f?xsec_token=ABDNTBqHP6tlnlPV5AUWTesIq2km2qjSzs_ak7TlLyes8%3D&xsec_source=pc_search
E09,朝外本部,X2,2025-03-30,讨论校内英语材料的家长,高度疑似一手,是,英语/教师/课外投入,"英语课较多、教师总体较好；重视英语的家庭普遍外学",中高,67e93164000000001b03f070,https://www.xiaohongshu.com/explore/67e93164000000001b03f070?xsec_token=ABM0FozD3WMrqsauq6WgI6mVEYCzAbzz4KUz46sTAAhuw%3D&xsec_source=pc_search
E10,朝外本部,X2,2025-03-30,明确六年在读家长,一手,是,英语/考试/作业/同伴/沟通,"作业多在校完成；英语阅读和考试有难度；同伴关系与沟通正面",高,67e93164000000001b03f070,https://www.xiaohongshu.com/explore/67e93164000000001b03f070?xsec_token=ABM0FozD3WMrqsauq6WgI6mVEYCzAbzz4KUz46sTAAhuw%3D&xsec_source=pc_search
E11,朝外本部,X2,2025-03-30,六年在读家长及同帖家长,一手与高度疑似一手,是,家校关系/教师自主性,"投诉可能使部分班级教师减少拔高或分享",中,67e93164000000001b03f070,https://www.xiaohongshu.com/explore/67e93164000000001b03f070?xsec_token=ABM0FozD3WMrqsauq6WgI6mVEYCzAbzz4KUz46sTAAhuw%3D&xsec_source=pc_search
E12,朝外本部,X4,2024-06-28,长期家长或居住者,高度疑似一手,是,校风/家长社群,"校风正、教学低调；家长分享书籍和资源",中低,667dae31000000001c036eaf,https://www.xiaohongshu.com/explore/667dae31000000001c036eaf?xsec_token=ABXDIk0sw8IrN6bGwBQT6rcXwU2u3DdXns2Uf4ElIlDmc%3D&xsec_source=pc_search
E13,朝外来广营校区,X3,2025-02-21,来广营一年级家长,一手,否,作业/沟通/儿童体验,"校区不匹配，仅用于校区差异警示",对该校区高,67b89114000000002803e79e,https://www.xiaohongshu.com/explore/67b89114000000002803e79e?xsec_token=ABhxLr7NaPsuG_XubJM1na0isLG3sON5zruyjnwkIwbg4%3D&xsec_source=pc_search
E14,人朝全学段,X9,2025-07-24,自述小初高12年在人朝的学生,一手,否,学生视角,"缺少小学阶段具体细节，不参与核心结论",对小学低,6881ba62000000000b02e394,https://www.xiaohongshu.com/explore/6881ba62000000000b02e394?xsec_token=ABT4QMF_1tqeamo7iwgid1TtO626KxpVQJzO-Wd_lrz4Y%3D&xsec_source=pc_search
